GEOID,MUNI,SCORE_YEAR3,SCORE_YEAR2,SCORE_YEAR1,WEIGHTED_SCORE_3YR,COHORT_3YR
1746357,Manhattan,51.85185185185185,48.148148148148145,48.148148148148145,49.382716049382715,2
1746604,Maple Park,25.925925925925924,25.925925925925924,25.925925925925924,25.925925925925924,4
1746786,Marengo,25.925925925925924,29.629629629629626,25.925925925925924,27.16049382716049,4
1747007,Markham,22.22222222222222,14.814814814814813,18.51851851851852,18.518518518518515,4
1747540,Matteson,55.55555555555556,55.55555555555556,55.55555555555556,55.555555555555564,2
1747774,Maywood,25.925925925925924,25.925925925925924,25.925925925925924,25.925925925925924,4
1745564,McCook,40.74074074074074,44.44444444444444,40.74074074074074,41.97530864197531,3
1745616,McCullom Lake,11.11111111111111,7.4074074074074066,7.4074074074074066,8.641975308641975,4
1745694,McHenry,55.55555555555556,59.25925925925925,55.55555555555556,56.79012345679013,2
1748242,Melrose Park,51.85185185185185,51.85185185185185,48.148148148148145,50.617283950617285,2
1748554,Merrionette Park,22.22222222222222,22.22222222222222,22.22222222222222,22.222222222222218,4
1748671,Mettawa,66.66666666666666,62.96296296296296,59.25925925925925,62.962962962962955,2
1748892,Midlothian,25.925925925925924,29.629629629629626,25.925925925925924,27.16049382716049,4
1749100,Millbrook,33.33333333333333,33.33333333333333,25.925925925925924,30.864197530864192,4
1749308,Millington,14.814814814814813,14.814814814814813,18.51851851851852,16.04938271604938,4
1749607,Minooka,55.55555555555556,59.25925925925925,48.148148148148145,54.32098765432098,2
1749854,Mokena,74.07407407407408,74.07407407407408,74.07407407407408,74.07407407407408,1
1749945,Monee,48.148148148148145,44.44444444444444,48.148148148148145,46.913580246913575,2
1750218,Montgomery,59.25925925925925,62.96296296296296,62.96296296296296,61.728395061728385,2
1750647,Morton Grove,62.96296296296296,66.66666666666666,62.96296296296296,64.19753086419753,2
1751089,Mount Prospect,74.07407407407408,70.37037037037037,74.07407407407408,72.8395061728395,1
1751349,Mundelein,59.25925925925925,59.25925925925925,59.25925925925925,59.25925925925926,2
1751622,Naperville,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888887,1
1752584,New Lenox,74.07407407407408,70.37037037037037,74.07407407407408,72.8395061728395,1
1752103,Newark,37.03703703703704,33.33333333333333,29.629629629629626,33.333333333333336,4
1753000,Niles,62.96296296296296,62.96296296296296,62.96296296296296,62.96296296296296,2
1753377,Norridge,51.85185185185185,55.55555555555556,51.85185185185185,53.08641975308641,2
1753442,North Aurora,62.96296296296296,62.96296296296296,59.25925925925925,61.728395061728385,2
1753455,North Barrington,62.96296296296296,62.96296296296296,66.66666666666666,64.19753086419753,2
1753559,North Chicago,25.925925925925924,25.925925925925924,25.925925925925924,25.925925925925924,4
1754144,North Riverside,44.44444444444444,44.44444444444444,44.44444444444444,44.444444444444436,3
1753481,Northbrook,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,1
1753663,Northfield,74.07407407407408,77.77777777777779,77.77777777777779,76.54320987654322,1
1753871,Northlake,48.148148148148145,44.44444444444444,48.148148148148145,46.913580246913575,2
1754534,Oak Brook,81.48148148148148,77.77777777777779,77.77777777777779,79.01234567901236,1
1754638,Oak Forest,44.44444444444444,44.44444444444444,44.44444444444444,44.444444444444436,3
1754820,Oak Lawn,48.148148148148145,55.55555555555556,51.85185185185185,51.85185185185185,2
1754885,Oak Park,59.25925925925925,62.96296296296296,62.96296296296296,61.728395061728385,2
